02000C34  [SDK+Abiosso:libVCT 1.3.1]
020DC9F4  ZA, Western Cape, Cape Town, Thawte Consulting cc, Certification Services Division, Thawte Server CA, server-certs@thawte.com
020DCB89  O\gUS, VeriSign, Inc., Class 3 Public Primary Certification Authority - G2, (c) 1998 VeriSign, Inc. - For authorized use only, VeriSign Trust Network
020DCC38  US, VeriSign, Inc., VeriSign Trust Network, (c) 1999 VeriSign, Inc. - For authorized use only, VeriSign Class 3 Public Primary Certification Authority - G3
020DCDEC  US, VeriSign, Inc., Class 3 Public Primary Certification Authority
020DCEC8  US, RSA Data Security, Inc., Secure Server Certification Authority
020DCFA4  GlobalSign Root CA - R2, GlobalSign, GlobalSign
020DD19C  Init state
020DD1A8  Server full
020DD1B4  Unknown connect attempt
020DD20C   and (%s)
020DD220  %s = %d and %s != %u and maxplayers = %d and numplayers < %d and %s = %d and %s != %s
020DEAF9  P kzlTotzP}@
020E0A7F  v'v v!v"v$v4v0v;vGvHvFv\vXvavbvhvivjvgvlvpvrvvvxv|v
020E0B37  x&y x*yEx
020E34D0  Assertion (%s) failed in "%s", function "%s", line %d
020E3A50  basic_string::reserve length_error
020E3AAC  basic_string: out_of_range
020E3B00  basic_string: length_error
020E9DFF   *0+0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0+4*4-0.010101010101010101060708090:0:494847464101010101010101010.4;0L0M010101010101010101010101010F0F410101010101010101010101010M4O0P0Q010101010101010101010101010101010101010101010101010101010Q4S0L0M0101010101010N01010101010101010101010101010N4101010101010M4O0P0Q0/00010203040501010101010101010101010101010544430241004/4Q4S0<0=084>0?0@0A0B0C0D0E010101010101010101010E4D4C4B4A4@4?4>480=4G0H0I0J0J0J0J0J0J0J0J0J0J0J0J0J0J0J0J0J0J0J0J0J0J0J0J0J0J0J0J0I4K0
020E9EFF   .0/000000000000000000000000000000000000000000000000000000000/4.41020304050607080905050:0;0<0=0>0>4=4<4;4:450509484706450443424?0@0A0<4B0C0D0E0F0G0H0I050505050J0J450505050I4H4G4F4E4D4C4B4<0A4K0L0M0N0N0N0N0N0N0N0N0N0N0N0N0N0N0N0N0N0N0N0N0N0N0N0N0N0N0N0N0M4O0
020EDD91   B0C0C0C0C0C0C0C0C0C0C0C0C0H0
020F69CF  +,0V4 8p7
02102962  0g3" bC42#
02102B4E   CC44"!c43
02102DF3   1U2DS21
02104BB1  TD$" Q4542B2#
02104C77  (%4! !c4$
02104D4C   uD3#3S4E#!
0210530F   CS#345344
021053B3   S443C4C33"
02105925  b44%C353" 
02105E83   C!222S#GD
02106AA8   B5D45CCCC3D2443D2434$$3CC23434C3C3$34C2C#33C223%
02106D9A   TE44$#C35D2$#$CCCC2$344C3C2$3CC33434CCC33$#3343CB24C3$""
02106E4B   S5"232C4"
02107122   BcS354D3D344CC34C3C34C2C233C33$#"#!
021075FD   B46DC44S344CC3C34C343C3C3343343342"
02107849   BS25TS4D$4CCC34C23$3CC34CCCCC3CC334$33###!
02107A3C   D55D4S3S2C2$$3C2C24S34444CCC#$2223##
02107EBB   SD4D4C4DBB2$C343%34B23C2C23C3343C22"
02108118   DD34C32
021081A1   E44CDC2#
021084D2   cEDC44C"
0210854E   DD45S35CCC3CC$$C34C3C3C"
0210877A   sF554D44C33
0210878A   S45D2$2#!
02108A19   B355D443"
02108AC3   SD34C#$!
02108B04   T4342C34"
02108B31   dD54C2"
02108C2C   B2!1UE43#"
02108C6F   FEC3333$
02108C83   SDS3%32"
02108CC2   TSCCC2"
02108D7F   C4C3D3$"
02108DBE   2%344533#
02108FBB   SSSC$33#!
021090CB   "S3422B2DSES444$#"
021090E2   U454343$"
0210924C   TUDC4#3##244ESB233#
0210940C   R$22S33
02109508   SC3335#
0210957D   FDS3333#CC454D3433
0210969E   CTC3C3"
021098FC   !!45C3#$C434
02109A63   B4C3""25D44434C2C354D2332"
02109AF0   cD45C3422"
02109AF7   S4CCC333
02109B64   TDC4C333BCSSCCC342C"#""!
02109B75   C45CCC""
02109C0A   SCS3433"
02109E41   365D2222"
02109E80   SSSC3322"
02109F3D   C6D3C22#
0210A2B8   FD33"2sC3$2"
0210A2E6   "433"23S
0210A488   4C5652##
0210A4AD   3D344$!
0210A5A7   C33CDC#
0210A86F   sS4D3%33C2333$344454C3$""
0210AD96   C333#!!3353&CC2424C"2
0210AE03   SCC3"B5
0210B1C9   TT3C32!
0210B25D   CSSD4$!
0210B723   344422125DC2"
0210B7BA   B4C333$
0210B7F9   C44$322
0210BBD1   CDCC233C"
0210BD0C   4TS24C#"
0210BFC2   BBC334C3
0210C558   sT44C#$!
0210C779   S4#"C225
0210CAB4   3DF44ES2"
0210CDAB   44BB35534"
0210D115   CE5433"
0210D2BC   "1S3BE53
0210D571   c4544C223#
0210DD67   RT4D"332"
0210F52B   SSUCC32#
0210F580   CS5D23#
0210F670   TU4C323C
0210FAD8   463""c4E2
0210FB17   2532EDD34
0210FDF7   CeU443"
0210FE59   BDSDC33
0210FF15   E44BB4D2"
0211005A   R3!c444332"
021100CA   D4#3DC2
021103AC   22FE$333"
02110668   e542422$
021108CE   CSC33C"
021109F5   SC4B222"
021115C9   4343454
0211312F   3VE#!B2
0211410C   D"BU424
0211814B   CDD3D3%$C33
02118E0B   TcCD23"
0211D6FF   254D44C3C2"""
0211E7C6  (DC3#! R4
0211EBEF   CTC33E$
0211EE8E   "BC2BU4
0211EEC6   #442CeC
02128DFB   2D443TU2
0212CB96   4$335343$
0212D320   D2CC2"C$
0212D8B6   B"!222B$
0212DAD9   2R55CCC#
0212DEF0   C3D4D#3C
0212EE69   C3#BFS2
0212F781   4D45$32C3
0212FAC9   C$"3UDS2
0213076A   eD3333C
02130FD9   SCTDC$2!
02131091   T5%#C3$334D23
02131469   3T44CD3#4##2D24DDCC3"
021314F5   B4333C3$B34SCDSC4342C
0213166F   S$#BDS3DCC34B"122#
0213192E   TDDB"333423223$#46$
02131D3C   D3CT45D3DB34$##3#!
02131EAF   cc34554C#2$3B224$"
02132CCA   S$2SE4333
02132F97  !4" !45CS44"
02132FAD   WD#"CC2C434
02133056   !!C55$DC2
0213322D   E434CD$
02133504   4333C32"
02133653   C#D54D2#3CDC3C#35#
021338D1   TS3$C3CC43#
021338EA   65#C323S3
02133BAD   55C#2D4D3S3$34333S4C"
02133CC7   2DD22$344543%32
02134887   43TED32
021348F0   DC3ES32
02134959   T36CCC3"
02135666   E5C""22!
02248104   prologu!e
022481C3   UBJRBov
02248304  xn, ma_k
02248AAE  TAL_DECI DE
02248B50  0.NEWG AM@-TEMPO
0225AD47     ! " # 0 1 2 3 
0225AD67  ! !!!"!#!0!1!2!3!
0225ADC7  0 0!0"0#000102030
0225ADE7  1 1!1"1#101112131
0225AE07  2 2!2"2#202122232
0225AE27  3 3!3"3#303132333<
0227F5A6  ````mmm`mmmmmm `mmmmmm `mmmmmm `mmmmmmm`mmmmmm``mmmmmm
0227F8D7  mm`[[mm```[[Nmmm  !
0227FFC5   mm`[[[ m`
02281DB4  ZVNN[`mm[NN[`mm [N[[`m 
02281DDC  ZN[[`mm NNNNNNNN```
02281E01    m!!!!!!!
02281E51   m[!!!!!
02281E5A  m[!!!!! m
02282FB2  !mmm !!mV.
02282FE4   VLLLA..PA.AAAAA.P.AAAAPPPPPPPAA
022835DE  `mm  m2222\\\\\\VVVVVVV$NNNNNNN[[[[[NN[[
0228360D  ```````mmmmmmmmmmm     VV$NNN[[V$NN[[[[NNN[[[[[N[[[[[
02283663   [[[[[[[[[[[[[[[[[
02283DCC  [N[[ mm[N$$N
02283DD6  `[[N[[ mm[N$$N
02283E40    mm  mmmmm`mm```
02285E85  ```````[[[[[[[[[[[[[[[NNNNNNNN$mmmmmmmmm 
0228651D  !!!!!!!`m 
02286529   mmmmm    
02286D5C   mmmmmm 
02287495     mmmmmmmmmmmm!!
0228755B  [[[[[[[[[m 
02287571  !!!`mmm 
0228763A  [[mmmmmmm`  mmmmm`mmmmmmm`mmmmm mmmm`mmmmmV$N$$$$$[[[NNNNN[[[[[[[[`
022876C7  `mmmm[``mmmmm[`mmm  m`
02287FB1  [[[mmmmm```mmm   mm 
0228801E   mmmmmV$V$$VVV[[[[NNNN``
02288722  !!mmmmmmmmmmmmmmmmmm mmmmm         
02288774  mmmmmmmm mmmmmmm
022887BC  mm    mmmm    mm
022887E5   mmmmmm mmm```
02289077    mmm!!!
022890CB  [ mmmmm`[  mmmm`
022890DC    mmmm``[[[[[[NNNNNNNNNNNVVVVV$$NVVVVV$$NVVVV$NNN$VV$NN[[N$NN[[[[NNN[[
02289824     mmmm mmmmmmmmmmm```mm mmm```` mmmmmmm
02289933  [mmmmm``[ 
02289CC4  ```m !!!mmm !!!!mm
02289CF0  [[[[m   mmm`!
02289D03   !!!!!!!!!!!!!!!!!!!!!!!!!
02289D52   m!!!!!!
02289D87  [[[[[mmmmmmmm     mm 
02289F5F  `mmm !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
02289FA0    mm!!!!!!!!!!!!!!!
0228A222   !!!!!!!!!
0228A22D  !!!!!!! 
0228A249  !!! !!!!!!!
0228A2AB  [ mmmmmm` mmmmmmmmmmmmmm mmmmm  
0228A3C3  [``mmmm``mmmmmmmmmmmmmm  mmmmmm  NNNNN[[[NN[[[
0228A415    mmmmm   mmmmm
0228A515   mmmmmmmm`
0228A546  mmmmm  mmmmmmmmmm````
0228A580   mmm  mmmm``mmm``
0228A98D  2[ !!!!.$
0228A9D7  !!!! NN[
0228AA8E  !!!!!!mm  
0228AAD6     mmmmmmmm```
0228B19F  ! m`[\\V$[[[[VVV$NNN[[NNN[[
0228B95C  55555511!!!! m`
0228BC34  m`mmm  mmmmm mmm   mmmmm
0228BC55    mmm`[ mmmm`
0228C3B4  mmmmmm  mm         
0228C696  !!!! `!!
0228CB14  mm  mm``[[[[[[NV!
0228CCB1  [[[  mmmmmm
0228CCFE   mmmmm!!
0228CD15  mmmmm mm````mmm[NNN[[[[[[[[[[[[
0228CE08  [[[[  m`
0228CE1E  ! mmmm!!!!!
0228CE84  m     mm[
0228CEBE   mmmmm  
0228D454  !!!!!!!!!!!!!!!!```m    
0228D4A7   mmm`mmmmm`
0228D727  mmmmmmmmmm m
0228D8C8  `[NN mm`[[NNNN[NNNNN\\VNNVVV!
0228DB7E  ``mm  ```m            !!!!
0228DCD5  [[[[[[[[[[[[NNN````mmm [[
0228DE77      mmmmmm mm`
0228E284  [[[NNNN[NNNNNNNNNNNNNNNN[NNNN[[N 
0228E735  [NV2.++mmmmm```mmmmmmmm`mmmmmmmmmm   mm
0228E7CF  [[NN[`mmmmmm`m 
0228E8A1   m V$NN[`m
0228EBB2           mmmmm   mmmmmmmmm```mmmmm
0228F11B  !!!!!!!!!  mmmm    m````m
0228F48C  VVNNN[[[\VVV$NNN2\\\\VVV   
0228F4B3   mmmm  mm```mmmmm
0228F50D  [[[[[[[NNNNNNN[$$VVVV$N``mmm 
0228F5E7   mmm !!! m```!!!
0228F62B  !m    `m
0228F656  m  `N$!!!!
0228F857  !!!! !!!!!!
0228FED1  [[NNNN[[NNNNNNNNNNNmmm 
0228FF1B   N[`mmmmm!!!!!!!
02290879  !!!``mmm m ```mmmmmm 
02290891   mm !!!!
02292022    [[[N[[[[[[[[[[
02295E9A  !!VN[``m 
022960A0    mm!!!!
022960C8             m    mmmmmmmmmmmm!!!!!!!!
02296114  mmmmm   mmmmmmmm!
022966CA  !!VN[`m 
022967AC  mmmmmmm ``mmmmmm
022967F4          mmmmmm mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm``
02296844  mmmm    mmmmmmmmmmmmmmmm``mmmmmm
0229765C  ``[[NNN[mmm mm 
02297674  mmmm    mmmmm   mmmmmmmm`mmmmmmm``mmm```
02297750   m`[!!!!
02297D9C  2\$NN[[Z``mmmm  mmmmm  m      mm    mm``
0229B4D3   N2$[[`!!
0229CB24  V[mm !!!`m 
0229CB3A  !!``mmm  
0229DE03   [[[[`mme[NNN[[[[NNNNNNNNNN$$$VV\"
022A018D   m``mmmmmmmmmmmmm
022A2A83  N$N[[m!! m!
022A2B14  NNN$[m!" 
022A30CA  NN`m mm`[[`mmmmm`
022A5E5B  [mm   mm`N[`m 
022A5EAC   mmmmmmm`
022A6E83  ![NN[` !!NN[
022B6D0C  sssssssssstsssssts tttss
022B7DA1  v"u tsss!qq
022B8524  t t stuu tttt
022B8539  utq ttuvq
022BA6B3  j1T")) i6
022CF289  vvtvvv r`
022D1267  vvtttssttttv stvv
022D6779  GTf888IHQ T88Z
022DF94E  3[e!  1[]
022E0916  !  s  "! !      
022E0BD1  XRR! !XS
022E0BDA  11   YIXR3RF5
022E10BD  "!!!!!s"!!!!! !!!!!!!!!!!!!!!! !!!!!! !! !  s  !!!s     ! !    !!!  s   ! !   s!!! !   ! !!  s !!! s! !          
022E1132   !      !
022E186D  "!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!"
023C19DB  aha =BP ?
023C283E  99w9= ;:
023C2C3D  JIOJ{Q k
023C30AD  HS  T! L
023C3738  :FFIF dQ
023C38CC  kk<GGOPH II
023C394D  :W___bwuyu 
023C39B9  5 3LL0LL
023C5079  BGAj _jj@Dg,E7Lx
023C5972  =bb 8HsXz
023C5D32  )JJ ?O D
023C5ECF  F=555050 
023C6124  0?1#:@o W4 
023C620B  aaa^a Aa :@
023C6294  r//rrr!2 
023C62A1  p<?mm?? 
023C62AB  ___.    
023C62D3  A<KK7A1 
023C62E9  ?Jg;r jx
023C63C2  dUETRMM 
023C6471  kwr#v w;)
023C6491  _II m? I
023C669A  c_USI ^__@V
023C6ABC  P LKHP(T._
023C6D9B  ~p[@~ CPxll99"nn0C
023C7116   m?4?*3r
023C72EB  C@D0Ue A`
023C72F9   RT(ZVebAE
023C72FA  0< aCDTUT b
023C734C  ZCy!W!Nb 
023C7456  33wE4CxU De!
023C74F8  Cf Je Nd2
023C754E  7wF b4SAa5 1#
023C7579   o0{D`4P(F
023C75B8  5SL305 ]W3>C]Boy
023C7872  fdfgF) D.f
023C7979   .vpc*]m 
023C7AF1  TTb4" _!&
023C7B6C  ,%FV<O g9V
023C7D4D  !{9V<(FF 
023C7D97  SJFJJSB= bb
023C7E5C  2JFP2WFJ 
023C7ECF  (;Q*3v1 
023C8053  TQF 6?qjB
023C8574  Long ago, Medeus, king of the dragonkin,
023C859D  conquered the continent of Archanea,
023C85C3  giving rise to an age of fear and despair
023C85ED  for all its people.
023C8603  That tyranny was broken, however, when
023C8603  Kr:G<a k= 
023C862A  an unlikely hero intervened.
023C8648  A young man hailing from the Altea region
023C8672  appeared with a divine blade in hand.
023C8699  Fang of dragon and blade of light locked in
023C86C5  battle; and in the end, blade prevailed.
023C86EF  For some time after, the land enjoyed an
023C8718  age of peace.
023C8728  However, after a century's passing, the
023C8750  Shadow Dragon returned.
023C8769  He forged an alliance with a fiendish
023C878F  sorcerer who sought to rule the world,
023C87B7  and their combined might toppled kingdom
023C87E0  upon unsuspecting kingdom.
023C87FC  Again, darkness threatened to engulf
023C8821  the continent.
023C8832  It fell upon the king of Altea, sole
023C8838  2~2?XX5eX Q
023C8857  descendant of the dragon-slayer hero,
023C887E  to sally forth with the divine blade and
023C88A7  fulfill his blood destiny.
023C88C4  His son, Prince Marth, remained at home
023C88EC  with the boy's mother, his elder sister,
023C8916  and a garrison manned by Altea's neighbor
023C8940  and ally, Gra.
023C8950  Thus the boy applied himself to the ways of
023C897C  both pen and sword, until one day...
023C8A33  But he was betrayed by his neighbor and
023C8A5B  ally, Gra
023C8A68  and both king and kingdom fell.
023C8A8A  Altea's prince, Marth, escaped the castle
023C8AB4  and found refuge on the isle of Talys,
023C8ADC  but at a dear cost: his sister stayed
023C8B02  behind to buy his freedom.
023C8B1E  Marth, prince of Altea, was lucky.
023C8B42  Though Dolhr took from him his kingdom and
023C8B6D  all but a handful of knights,
023C8B8C  they could not take his life. Marth lived
023C8BB6  and made it to the eastern isle of Talys.
023C8BE1  Talys was a small border kingdom, with no
023C8C0B  grand order of knights to boast of,
023C8C30  but its king selflessly gave Marth use of
023C8C5A  the isle's eastern fortress.
023C8C78  And as he saw the boy shake with anger
023C8C9F  and grief, he also gave wise counsel:
023C8CC8  Prince Marth,
023C8CD7   he said, 
023C8CE3  I do not doubt
023C8CF2   you love your sister something great.
023C8D1C  But you must be patient...
023C8D37   Time is on your side.
023C8D51  If you stay here, and grow stronger, a
023C8D78   time will come when you can help her.
023C8DA2  So Marth stayed in Talys, protected by its
023C8DCD  kind people, and the years went by...
023C8DF4  One thing could always be said about Galder
023C8E20  Harbor, the mainland port nearest Talys:
023C8E4A  it never had much in the way of riches,
023C8E72  but neither did it have much trouble.
023C8E99  All that changed when a pirate crew fell
023C8EC2  upon the town and made it their hideout.
023C8EEC  Here, in Galder, history records Marth's
023C8F15  first steps toward freeing his homeland.
023C8F3F  When journeying in from the borderlands,
023C8F68  one particular peril would spring to mind:
023C8F94  the Samsooth Mountains, whose gnashing
023C8FBB  peaks rose up and divided the peninsula.
023C8FE5  Since before anyone could remember,
023C9009  the mountains had belonged to bandits,
023C9031  blights on the land whose acts of plunder,
023C905C  kidnapping, and arson knew no bounds.
023C9083  Out of fear, their victims gave these peaks
023C90AF  another name: the Ghoul's Teeth;
023C90D1  while the bandits who ruled atop the Teeth's
023C90FE  craggy crowns took a name as well:
023C9122  the Samsooth Sires, or Soothsires...
023C9148  After a hard battle, Marth's Altean army
023C9173  for it had grown to be called such
023C9199  set foot at last in the kingdom of
023C91C6  However, joining his might to that of the
023C91F0  Aurelians would have to wait.
023C920F  As Marth descended into the vast green
023C9236  lea separating his troops from theirs,
023C925E  he heard a terrible sound: the galloping of
023C928A  enemy destriers,
023C929C  far away at first...then closer...
023C92BF  ...Then far too close.
023C92D7  Trace a line around the continent's north-
023C9302  eastern plains, and you have Aurelis.
023C9329  This kingdom alone had somehow resisted
023C9351  Dolhr's attempts to conquer it,
023C9372  but only by some miracle.
023C938C  By the time Marth arrived in Aurelis,
023C93B3  much of its territory had already been
023C93DA  carved up by Dolhr's ally Macedon.
023C93FE  Still, the king's younger brother, Hardin,
023C9429  refused to give up the fight.
023C9448  The people called him Coyote, and he
023C946D  intended to live up to the name.
023C948F  Since its founding, Aurelis and the holy
023C94B8  kingdom of Archanea shared close ties,
023C94E0  and some months ago Princess Nyna of
023C9505  Archanea had come to Hardin's aid.
023C9529  By his side, she had called on the people to
023C955D  but now few remained to answer.
023C957E  Macedon's finest soldiers were closing in.
023C95A9  Nyna knew they were out of time...
023C95CD  After shattering Macedon's main force
023C95F3  outside Aurelis Castle,
023C960C  Marth next led his army into the castle's
023C9636  halls to liberate the kingdom.
023C9656  A number of treasures slept in Aurelis
023C967D  Castle's nooks and corners,
023C969A  but how to extract them before they could
023C96C4  fall into enemy hands?
023C96DE  Only a thief could open chests locked that
023C9712   grumbled one of Marth's men.
023C9733  But we don't have any thieves with us.
023C975A   ...Do we?
023C9768  Aurelis was free, but Marth and his army
023C9793  now known as the Archanean League
023C97B8  still had much work ahead of them.
023C97DC  They followed the middleroad south, bound
023C9806  for Archanea Palace
023C981B  a perilous route,
023C982E  for it took them right into Lefcandith Valley
023C985C  and the jaws of trouble.
023C9876  The countless fortresses lining the valley
023C98A1  made it a veritable gauntlet,
023C98C0  and compounding the danger was the
023C98E3  presence of the Whitewings,
023C9900  a knightly order led by Princess Minerva of
023C992C  Macedon. 'Twould be a fierce battle...
023C9954  The League had reached Archanean soil,
023C997B  so Marth gave them leave to recuperate
023C99A3  in Port Warren, a harbor town known for
023C99CB  commerce. Coin alone kept the town free:
023C99F5  they paid Dolhr dearly in taxes to preserve
023C9A21  their autonomy.
023C9A32  Naturally, then, theirs was a warm welcome
023C9A5D  when the Archanean League arrived.
023C9A81  Marth's soldiers were glad to rest there,
023C9AAB  nestled between mountain and sea,
023C9ACE  but their joy was spoiled by news that the
023C9AF9  enemy was fast approaching
023C9B17  as harsh an awakening as a rock beneath
023C9B3F  the pillow.
023C9B4C  Grust had caught the League unawares,
023C9B72  forcing them to flee to Pyrathi.
023C9B94  But the kingdom of Pyrathi seldom made
023C9BBB  contact with the outside world,
023C9BDC  and their king, Mannu, was wroth when he
023C9C05  heard of the League's unexpected visit.
023C9C2E  There were whispers Mannu was a dragon-
023C9C5B  rumors soon to be proven true.
023C9C7B  Not all of the League's soldiers took Catria
023C9CA8  of the Whitewings at her word.
023C9CC8  Some insisted her plea was a ruse, a trap
023C9CF2  concocted by Princess Minerva herself.
023C9D1A  Marth doubted that, though; he had seen
023C9D42  the woman in Lefcandith Valley,
023C9D63  and she did not strike him as the sort of
023C9D8D  conniving menace his followers feared.
023C9DB5  As the brunt of Grust's might drew closer,
023C9DE0  Marth led the League to Castle Deil,
023C9E06  determined to attack the citadel and rescue
023C9E32  the young Macedonian princess Maria.
023C9E58  Tired from many long battles, Marth and
023C9E80  the League arrived at last in Archanea,
023C9EA9  Princess Nyna's mother kingdom.
023C9ECA  Past the mountains lay the royal palace,
023C9EF3  known to some as Millennium Court;
023C9F17  and within its walls awaited many treasures
023C9F43  and captives the enemy had taken.
023C9F66  With each step, Marth drew nearer to one
023C9F8F  of the great waypoints on his journey.
023C9FB7  The holy kingdom of Archanea had come
023C9FDD  into being six centuries earlier
023C9FFF  when the region's numerous city-states
023CA026  were unified under one monarch.
023CA047  The first king, Adrah, had fought valiantly
023CA073  to accomplish this,
023CA088  wielding three weapons he came to call his
023CA0BC  gifts from the gods, some said.
023CA0DD  The kingdom Adrah forged was pronounced
023CA105  holy; its kings were esteemed.
023CA125  With Archanea's aid, six more independent
023CA14F  kingdoms sprang up in their own time.
023CA176  But Archanea was always the greatest
023CA19E  and now, Marth was about to take his first
023CA1C9  walk through its historic palace's halls.
023CA1F4  The Archanean heroes hurried to Altea,
023CA21B  but they would not go unchallenged.
023CA240  Waiting for them at Fort Menedy
023CA260  were Grust's artillery regiment,
023CA282  the dreaded 
023CA290  Wooden Cavalry.
023CA2A3  Missiles crashed down, rocking the earth
023CA2CC  as the enemy ballistae rumbled forward.
023CA2F5  Had Marth and the League any hope of
023CA31A  triumphing over such firepower?
023CA33B  Gra's betrayal of Altea years earlier had
023CA365  come as a shock, of course:
023CA382  until that day they attacked Marth's
023CA3A7  kingdom in the name of Dolhr,
023CA3C6  Gra had been a trustworthy neighbor
023CA3EA  and ally.
023CA3F5  While the Altean army was out on an
023CA419  expedition, Gra struck from the rear,
023CA440  annihilating the Altean soldiers,
023CA462  killing Marth's father, King Cornelius,
023CA48B  and stealing Falchion, the blade of light.
023CA4B6  It was a crushing blow.
023CA4CF  Much time had passed since that sad day,
023CA4F8  and much had changed.
023CA50F  Now it was Marth's turn to descend on
023CA535  Gra Bastion,
023CA543  and face King Jiol, the man who had
023CA567  robbed him of his father.
023CA582  Khadein, city of magic.
023CA59B  Ever since Gharnef named himself ruler of
023CA5C5  this mecca for the magically inclined,
023CA5ED  the sands surrounding it had run red.
023CA613  Many knights had tried to oust Gharnef,
023CA63C  but what defense did they have against the
023CA667  mages the fiend had bent to his purpose?
023CA691  One by one the heroes fell to blades unseen
023CA6BD  and fires within their armor;
023CA6DC  and it was not long at all before Khadein's
023CA708  wickedness outstripped its wisdom.
023CA72C  Still smarting from their bitter experience
023CA730  y,Dt EC0[pK5
023CA758  with Gharnef and the dark magic Imhullu,
023CA782  Prince Marth and the League regrouped
023CA7A8  and marched south
023CA7C1  to Altea.
023CA7CC  Once Marth's kingdom had been beautiful,
023CA7F5  blessed with rich soil and clear waters;
023CA81F  now the eyes tended to notice instead the
023CA849  barren farms; the ruins; forlorn stares.
